TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
2,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
3,-0.002,-0.00438,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.006200001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.007600001,-0.002,-0.004800001,-0.01152,-0.002,-0.004800001,-0.002,-0.002,-0.002,-0.004800001,-0.0034
4,-0.002970072,-0.006454335,2.181938,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.009144527,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.002970072,-0.01120268,-0.002970072,-0.007086374,-0.01690712,-0.002970072,-0.007086374,-0.002970072,-0.002970072,-0.002970072,-0.007086374,-0.005028223
5,-0.003930371,-0.00849134,3.554564,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.01203871,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.003930371,-0.01474149,-0.003930371,-0.009335929,-0.02217425,-0.003930371,-0.009335929,-0.003930371,-0.003930371,-0.003930371,-0.009335929,-0.00663315
6,-0.004881186,-0.01049275,4.15416,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.01488464,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.004881186,-0.01821913,-0.004881186,-0.01155016,-0.02732743,-0.004881186,-0.01155016,-0.004881186,-0.004881186,-0.004881186,-0.01155016,-0.008215671
7,-0.005822374,-0.01245769,4.530814,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.01768129,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.005822374,-0.02163427,-0.005822374,-0.01372832,-0.03236364,-0.005822374,-0.01372832,-0.005822374,-0.005822374,-0.005822374,-0.01372832,-0.009775346
8,-0.006822375,-0.01464769,4.529814,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.0207813,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.006822375,-0.02543427,-0.006822375,-0.01612832,-0.03812363,-0.006822375,-0.01612832,-0.006822375,-0.006822375,-0.006822375,-0.01612832,-0.01147535
9,-0.007822375,-0.01683769,4.528814,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.0238813,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.007822375,-0.02923427,-0.007822375,-0.01852832,-0.04388363,-0.007822375,-0.01852832,-0.007822375,-0.007822375,-0.007822375,-0.01852832,-0.01317535
